[2026-07-10 09:54:51Z] GET /lookup/laboratories?term=a | status=200 | durationMs=7 | user=anonymous
[2026-07-10 10:01:31Z] POST /devices/api | status=302 | durationMs=5 | user=anonymous
[2026-07-10 10:01:31Z] PUT /devices/api/2147483647 | status=302 | durationMs=5 | user=anonymous
[2026-07-10 10:01:31Z] DELETE /devices/api/2147483647 | status=302 | durationMs=1 | user=anonymous
[2026-07-10 10:01:31Z] POST /laboratories/api | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:01:31Z] PUT /laboratories/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:01:31Z] DELETE /laboratories/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:01:31Z] POST /technicians/api | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:01:31Z] PUT /technicians/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:01:31Z] DELETE /technicians/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:01:31Z] POST /calibrations/api | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:01:31Z] PUT /calibrations/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:01:31Z] DELETE /calibrations/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:01:31Z] POST /devicelocations/api | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:01:31Z] PUT /devicelocations/api/2147483647 | status=302 | durationMs=1 | user=anonymous
[2026-07-10 10:01:31Z] DELETE /devicelocations/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:01:31Z] GET /devices/api | status=200 | durationMs=87 | user=anonymous
[2026-07-10 10:01:31Z] GET /devices/api | status=200 | durationMs=6 | user=anonymous
[2026-07-10 10:01:31Z] GET /devices/api/6 | status=200 | durationMs=16 | user=anonymous
[2026-07-10 10:01:31Z] GET /laboratories/api | status=200 | durationMs=15 | user=anonymous
[2026-07-10 10:01:31Z] GET /laboratories/api | status=200 | durationMs=2 | user=anonymous
[2026-07-10 10:01:31Z] GET /laboratories/api/2 | status=200 | durationMs=9 | user=anonymous
[2026-07-10 10:01:31Z] GET /technicians/api | status=200 | durationMs=9 | user=anonymous
[2026-07-10 10:01:31Z] GET /technicians/api | status=200 | durationMs=2 | user=anonymous
[2026-07-10 10:01:31Z] GET /technicians/api/1 | status=200 | durationMs=8 | user=anonymous
[2026-07-10 10:01:31Z] GET /calibrations/api | status=200 | durationMs=21 | user=anonymous
[2026-07-10 10:01:31Z] GET /calibrations/api | status=200 | durationMs=2 | user=anonymous
[2026-07-10 10:01:31Z] GET /calibrations/api/3 | status=200 | durationMs=8 | user=anonymous
[2026-07-10 10:01:31Z] GET /devicelocations/api | status=200 | durationMs=11 | user=anonymous
[2026-07-10 10:01:31Z] GET /devicelocations/api | status=200 | durationMs=2 | user=anonymous
[2026-07-10 10:01:31Z] GET /devicelocations/api/1 | status=200 | durationMs=8 | user=anonymous
[2026-07-10 10:01:31Z] GET /lookup/devices?term=a | status=200 | durationMs=22 | user=anonymous
[2026-07-10 10:01:31Z] GET /lookup/technicians?term=a | status=200 | durationMs=8 | user=anonymous
[2026-07-10 10:01:31Z] GET /lookup/laboratories?term=a | status=200 | durationMs=7 | user=anonymous
[2026-07-10 10:02:22Z] POST /devices/api | status=302 | durationMs=5 | user=anonymous
[2026-07-10 10:02:22Z] PUT /devices/api/2147483647 | status=302 | durationMs=2 | user=anonymous
[2026-07-10 10:02:22Z] DELETE /devices/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:02:22Z] POST /laboratories/api | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:02:22Z] PUT /laboratories/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:02:22Z] DELETE /laboratories/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:02:22Z] POST /technicians/api | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:02:22Z] PUT /technicians/api/2147483647 | status=302 | durationMs=3 | user=anonymous
[2026-07-10 10:02:22Z] DELETE /technicians/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:02:22Z] POST /calibrations/api | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:02:22Z] PUT /calibrations/api/2147483647 | status=302 | durationMs=2 | user=anonymous
[2026-07-10 10:02:22Z] DELETE /calibrations/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:02:22Z] POST /devicelocations/api | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:02:22Z] PUT /devicelocations/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:02:22Z] DELETE /devicelocations/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:02:22Z] GET /devices/api | status=200 | durationMs=97 | user=anonymous
[2026-07-10 10:02:22Z] GET /devices/api | status=200 | durationMs=6 | user=anonymous
[2026-07-10 10:02:22Z] GET /devices/api/6 | status=200 | durationMs=12 | user=anonymous
[2026-07-10 10:02:22Z] GET /laboratories/api | status=200 | durationMs=16 | user=anonymous
[2026-07-10 10:02:22Z] GET /laboratories/api | status=200 | durationMs=2 | user=anonymous
[2026-07-10 10:02:22Z] GET /laboratories/api/2 | status=200 | durationMs=8 | user=anonymous
[2026-07-10 10:02:22Z] GET /technicians/api | status=200 | durationMs=11 | user=anonymous
[2026-07-10 10:02:22Z] GET /technicians/api | status=200 | durationMs=2 | user=anonymous
[2026-07-10 10:02:22Z] GET /technicians/api/1 | status=200 | durationMs=7 | user=anonymous
[2026-07-10 10:02:22Z] GET /calibrations/api | status=200 | durationMs=19 | user=anonymous
[2026-07-10 10:02:22Z] GET /calibrations/api | status=200 | durationMs=2 | user=anonymous
[2026-07-10 10:02:22Z] GET /calibrations/api/3 | status=200 | durationMs=8 | user=anonymous
[2026-07-10 10:02:22Z] GET /devicelocations/api | status=200 | durationMs=11 | user=anonymous
[2026-07-10 10:02:22Z] GET /devicelocations/api | status=200 | durationMs=2 | user=anonymous
[2026-07-10 10:02:22Z] GET /devicelocations/api/1 | status=200 | durationMs=8 | user=anonymous
[2026-07-10 10:02:22Z] GET /lookup/devices?term=a | status=200 | durationMs=19 | user=anonymous
[2026-07-10 10:02:22Z] GET /lookup/technicians?term=a | status=200 | durationMs=7 | user=anonymous
[2026-07-10 10:02:23Z] GET /lookup/laboratories?term=a | status=200 | durationMs=7 | user=anonymous
[2026-07-10 10:05:21Z] POST /devices/api | status=302 | durationMs=6 | user=anonymous
[2026-07-10 10:05:21Z] PUT /devices/api/2147483647 | status=302 | durationMs=1 | user=anonymous
[2026-07-10 10:05:21Z] DELETE /devices/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:05:21Z] POST /laboratories/api | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:05:21Z] PUT /laboratories/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:05:21Z] DELETE /laboratories/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:05:21Z] POST /technicians/api | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:05:21Z] PUT /technicians/api/2147483647 | status=302 | durationMs=2 | user=anonymous
[2026-07-10 10:05:21Z] DELETE /technicians/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:05:21Z] POST /calibrations/api | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:05:21Z] PUT /calibrations/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:05:21Z] DELETE /calibrations/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:05:21Z] POST /devicelocations/api | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:05:21Z] PUT /devicelocations/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:05:21Z] GET /devices/api | status=200 | durationMs=106 | user=anonymous
[2026-07-10 10:05:21Z] DELETE /devicelocations/api/2147483647 | status=302 | durationMs=0 | user=anonymous
[2026-07-10 10:05:21Z] GET /devices/api | status=200 | durationMs=7 | user=anonymous
[2026-07-10 10:05:21Z] GET /devices/api/6 | status=200 | durationMs=67 | user=anonymous
[2026-07-10 10:05:21Z] GET /laboratories/api | status=200 | durationMs=17 | user=anonymous
[2026-07-10 10:05:21Z] GET /laboratories/api | status=200 | durationMs=3 | user=anonymous
[2026-07-10 10:05:21Z] GET /laboratories/api/2 | status=200 | durationMs=11 | user=anonymous
[2026-07-10 10:05:21Z] GET /technicians/api | status=200 | durationMs=12 | user=anonymous
[2026-07-10 10:05:21Z] GET /technicians/api | status=200 | durationMs=2 | user=anonymous
[2026-07-10 10:05:21Z] GET /technicians/api/1 | status=200 | durationMs=9 | user=anonymous
[2026-07-10 10:05:21Z] GET /calibrations/api | status=200 | durationMs=27 | user=anonymous
[2026-07-10 10:05:21Z] GET /calibrations/api | status=200 | durationMs=28 | user=anonymous
[2026-07-10 10:05:22Z] GET /calibrations/api/3 | status=200 | durationMs=22 | user=anonymous
[2026-07-10 10:05:22Z] GET /devicelocations/api | status=200 | durationMs=16 | user=anonymous
[2026-07-10 10:05:22Z] GET /devicelocations/api | status=200 | durationMs=2 | user=anonymous
[2026-07-10 10:05:22Z] GET /devicelocations/api/1 | status=200 | durationMs=10 | user=anonymous
[2026-07-10 10:05:22Z] GET /lookup/devices?term=a | status=200 | durationMs=23 | user=anonymous
[2026-07-10 10:05:22Z] GET /lookup/technicians?term=a | status=200 | durationMs=8 | user=anonymous
[2026-07-10 10:05:22Z] GET /lookup/laboratories?term=a | status=200 | durationMs=10 | user=anonymous
